Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-11,ОЗОН,Salamander,9605.887817638084,6023.200431251749,План,0
2022-11-12,ОЗОН,Thomas Munz,850644.837974021,518893.3736493488,План,0
2022-11-12,ОЗОН,Salamander,10292.759078813951,6453.890790651155,План,0
2022-11-13,ОЗОН,Thomas Munz,873273.6432086703,532696.9454406347,План,0
2022-11-13,ОЗОН,Salamander,10566.56646601491,6625.576823631939,План,0
2022-11-14,ОЗОН,Thomas Munz,428242.7327755545,261228.07831287925,План,0
2022-11-14,ОЗОН,Salamander,5181.715187045315,3249.1019822162766,План,0
2022-11-15,ОЗОН,Thomas Munz,393445.5722692336,240001.80948422602,План,0
2022-11-15,ОЗОН,Salamander,4760.671322755952,2985.0939453633996,План,0
2022-11-16,ОЗОН,Thomas Munz,368444.40854348335,224751.09895065965,План,0
2022-11-16,ОЗОН,Salamander,4458.158519019889,2795.4086935143678,План,0
2022-11-17,ОЗОН,Thomas Munz,345607.07171777176,210820.32288331352,План,0
2022-11-17,ОЗОН,Salamander,4181.827910221256,2622.140519485949,План,0
2022-11-18,ОЗОН,Thomas Munz,356954.9819213739,217742.54840747154,План,0
2022-11-18,ОЗОН,Salamander,4319.137043903743,2708.237759940139,План,0
2022-11-19,ОЗОН,Thomas Munz,382479.1316168499,233312.28039639475,План,0
2022-11-19,ОЗОН,Salamander,4627.97795115338,2901.8909361013802,План,0
2022-11-20,ОЗОН,Thomas Munz,392653.8195586344,239518.84030983204,План,0
2022-11-20,ОЗОН,Salamander,4751.09115540949,2979.086872494329,План,0
2022-11-21,ОЗОН,Thomas Munz,385105.2783517229,234914.22997408453,План,0
2022-11-21,ОЗОН,Salamander,4659.754192471719,2921.815660816648,План,0
2022-11-22,ОЗОН,Thomas Munz,375487.9283926738,229047.646244848,План,0
2022-11-22,ОЗОН,Salamander,4543.384749331504,2848.8482794133733,План,0
2022-11-23,ОЗОН,Thomas Munz,351627.86784949887,214493.0086828155,План,0
2022-11-23,ОЗОН,Salamander,4254.679235803997,2667.8206423436727,План,0
2022-11-24,ОЗОН,Thomas Munz,395799.44737574697,241437.67336141944,План,0
2022-11-24,ОЗОН,Salamander,4789.153091281889,3002.9529297410063,План,0
2022-11-25,ОЗОН,Thomas Munz,408795.41000212287,249365.21090703257,План,0
2022-11-25,ОЗОН,Salamander,4946.403575078562,3101.554037707261,План,0
2022-11-26,ОЗОН,Thomas Munz,438026.4216651453,267196.12879414303,План,0
2022-11-26,ОЗОН,Salamander,5300.0973227465865,3323.331386550891,План,0
